    Date,       Lat,       Lon,    TAV,    TAH,    TIR,      sec
20150818,   31.4986, -110.9933,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.9881,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.9829,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.9777,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.9725,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.9673,  287.9,  274.0,   18.8,  44545.8
20150818,   31.4986, -110.9621,  288.1,  272.8,   19.3,  44550.6
20150818,   31.4986, -110.9569,  288.1,  271.7,   19.5,  44552.7
20150818,   31.4986, -110.9518,  288.2,  270.8,   19.6,  44554.1
20150818,   31.4986, -110.9466,  288.2,  270.0,   19.6,  44556.5
20150818,   31.4986, -110.9414,  287.8,  269.6,   19.5,  44563.2
20150818,   31.4986, -110.9362,  287.3,  269.6,   19.2,  44568.6
20150818,   31.4986, -110.9310,  287.5,  269.5,   19.0,  44569.9
20150818,   31.4986, -110.9258,  287.6,  270.8,   19.3,  44579.9
20150818,   31.4986, -110.9206,  288.0,  271.3,   19.6,  44598.8
20150818,   31.4986, -110.9155,  288.9,  271.0,   19.5,  44603.6
20150818,   31.4986, -110.9103,  289.8,  270.9,   19.5,  44606.0
20150818,   31.4986, -110.9051,  289.9,  270.9,   19.4,  44608.1
20150818,   31.4986, -110.8999,  288.3,  270.0,   19.5,  44616.7
20150818,   31.4986, -110.8947,  286.9,  268.7,   19.7,  44625.4
20150818,   31.4986, -110.8895,  287.3,  268.3,   19.9,  44627.0
20150818,   31.4986, -110.8843,  287.3,  266.3,   19.9,  44632.6
20150818,   31.4986, -110.8792,  284.7,  264.4,   19.3,  44650.0
20150818,   31.4986, -110.8740,  284.4,  264.3,   19.2,  44650.2
20150818,   31.4986, -110.8688,  283.6,  264.4,   19.0,  44651.2
20150818,   31.4986, -110.8636,  281.1,  261.2,   18.8,  44666.1
20150818,   31.4986, -110.8584,  279.9,  259.3,   18.5,  44676.8
20150818,   31.4986, -110.8532,  279.4,  259.6,   18.5,  44677.7
20150818,   31.4986, -110.8480,  279.1,  259.7,   18.5,  44677.8
20150818,   31.4986, -110.8428,  278.0,  260.1,   18.5,  44679.2
20150818,   31.4986, -110.8377,  284.5,  265.0,   19.3,  44692.9
20150818,   31.4986, -110.8325,  284.1,  265.0,   19.3,  44697.2
20150818,   31.4986, -110.8273,  289.4,  262.8,   19.2,  44696.9
20150818,   31.4986, -110.8221,  281.0,  273.9,   19.6,  44731.3
20150818,   31.4986, -110.8169,  280.4,  273.6,   19.6,  44731.4
20150818,   31.4986, -110.8117,  280.3,  273.8,   19.7,  44731.7
20150818,   31.4986, -110.8065,  280.3,  274.4,   19.7,  44732.0
20150818,   31.4986, -110.8013,  280.1,  275.6,   19.7,  44731.2
20150818,   31.4986, -110.7962,  286.2,  273.5,   19.7,  44755.9
20150818,   31.4986, -110.7910,  285.0,  273.4,   19.4,  44759.9
20150818,   31.4986, -110.7858,  285.5,  273.9,   19.4,  44761.7
20150818,   31.4986, -110.7806,  287.9,  274.2,   19.1,  44770.4
20150818,   31.4986, -110.7754,  289.5,  276.1,   18.7,  44785.5
20150818,   31.4986, -110.7702,  289.6,  276.4,   18.6,  44785.5
20150818,   31.4986, -110.7650,  289.7,  276.6,   18.6,  44785.7
20150818,   31.4986, -110.7599,  289.9,  278.8,   18.6,  44785.4
20150818,   31.4986, -110.7547,  289.4,  280.2,   18.3,  44805.8
20150818,   31.4986, -110.7495,  287.1,  281.0,   18.3,  44810.4
20150818,   31.4986, -110.7443,  282.5,  279.8,   17.9,  44819.5
20150818,   31.4986, -110.7391,  283.7,  281.1,   18.0,  44830.3
20150818,   31.4986, -110.7339,  284.0,  281.5,   18.1,  44836.6
20150818,   31.4986, -110.7287,  284.2,  282.2,   18.2,  44837.9
20150818,   31.4986, -110.7236,  284.6,  283.1,   18.3,  44838.5
20150818,   31.4986, -110.7184,  285.0,  284.8,   18.5,  44839.9
20150818,   31.4986, -110.7132,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.7080,  282.5,  273.1,   17.8,  48202.9
20150818,   31.4986, -110.7028,  282.5,  273.1,   17.8,  48202.9
20150818,   31.4986, -110.6976,  282.5,  273.0,   17.8,  48202.9
20150818,   31.4986, -110.6924,  282.6,  273.0,   17.8,  48202.9
20150818,   31.4986, -110.6872,  282.6,  273.0,   17.8,  48202.9
20150818,   31.4986, -110.6821,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.6769,  -9999,  -9999,  -9999,    -9999
20150818,   31.4986, -110.6717,  285.2,  267.2,   18.2,  47503.7
20150818,   31.4986, -110.6665,  285.1,  268.6,   18.0,  47192.1
20150818,   31.4986, -110.6613,  288.2,  272.5,   17.8,  47443.5
20150818,   31.4986, -110.6561,  291.0,  275.5,   17.5,  47922.4
20150818,   31.4986, -110.6509,  291.7,  276.5,   17.5,  48248.4
20150818,   31.4986, -110.6457,  291.5,  277.2,   17.8,  48253.5
20150818,   31.4986, -110.6406,  291.5,  276.8,   17.9,  48257.7
20150818,   31.4986, -110.6354,  292.2,  274.4,   17.7,  48261.6
20150818,   31.4986, -110.6302,  293.2,  270.6,   17.6,  48273.1
20150818,   31.4986, -110.6250,  292.1,  269.5,   17.8,  48277.1
20150818,   31.4986, -110.6198,  289.8,  266.7,   17.5,  47995.6
20150818,   31.4986, -110.6146,  289.8,  264.1,   17.4,  48036.4
20150818,   31.4986, -110.6094,  290.1,  263.0,   17.4,  48166.6
20150818,   31.4986, -110.6043,  289.8,  262.0,   17.6,  48240.2
20150818,   31.4986, -110.5991,  289.0,  260.5,   17.7,  48212.2
20150818,   31.4986, -110.5939,  282.2,  254.4,   17.6,  47156.6
20150818,   31.4986, -110.5887,  277.5,  253.0,   17.7,  46902.8
20150818,   31.4986, -110.5835,  277.3,  254.1,   17.8,  47062.3
20150818,   31.4986, -110.5783,  277.8,  255.9,   17.8,  46997.1
20150818,   31.4986, -110.5731,  278.5,  256.6,   17.6,  46698.8
20150818,   31.4986, -110.5679,  277.9,  255.2,   17.6,  46659.7
20150818,   31.4986, -110.5628,  277.0,  254.2,   17.6,  46862.1
20150818,   31.4986, -110.5576,  276.5,  254.0,   17.9,  47203.7
20150818,   31.4986, -110.5524,  275.6,  255.0,   18.3,  47491.8
20150818,   31.4986, -110.5472,  275.3,  256.7,   18.4,  47066.4
20150818,   31.4986, -110.5420,  276.4,  259.2,   18.3,  46461.0
20150818,   31.4986, -110.5368,  277.4,  262.6,   17.6,  46856.8
20150818,   31.4986, -110.5316,  278.9,  264.8,   17.1,  47207.5
20150818,   31.4986, -110.5265,  279.9,  265.6,   17.1,  47315.1
20150818,   31.4986, -110.5213,  280.8,  266.0,   17.3,  47452.2
20150818,   31.4986, -110.5161,  281.4,  266.0,   17.5,  47502.3
20150818,   31.4986, -110.5109,  281.3,  265.8,   17.6,  47574.7
20150818,   31.4986, -110.5057,  281.7,  266.9,   18.0,  47259.9
20150818,   31.4986, -110.5005,  283.0,  268.1,   18.6,  47156.9
20150818,   31.4986, -110.4953,  283.3,  268.3,   18.2,  47670.6
